latitude,longitude,String,danger
39.307,-76.639,There is 1 sex offender in this area. There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,3
38.964,-76.898,There is 1 sex offender in this area. ,2
39.235,-76.601,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.333,-76.608,There is 1 gun offender in this area. ,1
39.229,-76.602,There is 1 gun offender in this area. ,1
39.223,-76.659,There are 2 sex offenders in this area. ,4
39.311,-76.664,There is 1 gun offender in this area. ,1
39.47,-76.609,There is 1 gun offender in this area. ,1
39.3,-76.766,There is 1 gun offender in this area. ,1
38.598,-76.909,There is 1 sex offender in this area. ,2
39.302,-76.655,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.337,-76.665,There is 1 gun offender in this area. ,1
38.576,-76.078,There is 1 sex offender in this area. ,2
39.329,-76.66,There is 1 sex offender in this area. ,2
38.861,-76.918,There is 1 sex offender in this area. ,2
38.86,-76.929,There is 1 sex offender in this area. ,2
39.312,-76.631,There is 1 gun offender in this area. ,1
39.291,-76.571,There is 1 gun offender in this area. ,1
39.286,-76.647,There is 1 gun offender in this area. ,1
